prompt,seed,width,height,sampler,cfgs,steps,filename,negative_prompt,sd_model_name,sd_model_hash
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay, haybed,

1futa, solo, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, ((brown horse fur: 1.5)),horse face, ((blonde horse mane: 1.5)), braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow, open mouth, sticking out tongue, long horse tongue, tired,

huge breasts, gigantic ass, bubble butt, skinny, tight waist, tiny waist, wide hips, ribs visible, muscular futanari, toned body, toned abs, ((gigantic muscles: 1.1)), gigantic biceps, gigantic delts, gigantic arms, gigantic legs, gigantic shoulders, very muscular, muscle definition, very large muscles, hyper muscles,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina,

looking at viewer, dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hand on testicles, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>,
",3705665104,1216,1216,DPM++ 2M,7,30,00000-3705665104.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay,

1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, ((brown horse fur: 1.5)),horse face, ((blonde horse mane: 1.5)), braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow,

huge breasts, gigantic ass, bubble butt, skinny, tight waist, tiny waist, wide hips, ribs visible, muscular futanari, toned body, toned abs, ((gigantic muscles: 1.1)), gigantic biceps, gigantic delts, gigantic arms, gigantic legs, gigantic shoulders, very muscular, muscle definition, very large muscles, hyper muscles, black nipples,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:Futa_on_male:.5>",2407229616,1216,1216,DPM++ 2M,7,30,00001-2407229616.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, pubic hair, gloves, muscular male, white fur, yellow sclera, blue eyes, dark penis, beard, facial hair, blonde male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay, night, dark,

solo, 1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, ((Dark brown horse fur: 1.5)),horse face, ((blonde horse mane: 1.5)), braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow,

huge breasts, gigantic ass, bubble butt, skinny, tight waist, tiny waist, wide hips, ribs visible, muscular futanari, toned body, toned abs, ((gigantic muscles: 1.1)), gigantic biceps, gigantic delts, gigantic arms, gigantic legs, gigantic shoulders, very muscular, muscle definition, very large muscles, hyper muscles, black nipples,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>,",1002272605,1216,1216,DPM++ 2M,7,30,00002-1002272605.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, pubic hair, gloves, muscular male, white fur, yellow sclera, blue eyes, dark penis, beard, facial hair, blonde male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay, night, dark,

solo, 1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, ((All Dark brown horse fur: 1.5)),horse face, ((blonde horse mane: 1.5)), braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow,

huge breasts, gigantic ass, bubble butt, skinny, tight waist, tiny waist, wide hips, ribs visible, muscular futanari, toned body, toned abs, ((gigantic muscles: 1.1)), gigantic biceps, gigantic delts, gigantic arms, gigantic legs, gigantic shoulders, very muscular, muscle definition, very large muscles, hyper muscles, black nipples,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>,",1002272605,1216,1216,DPM++ 2M,7,30,00003-1002272605.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, pubic hair, gloves, muscular male, white fur, yellow sclera, blue eyes, dark penis, beard, facial hair, blonde male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay, night, dark,

solo, 1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, ((All Dark brown horse fur: 1.5)),horse face, ((blonde horse mane: 1.5)), braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow,

huge breasts, gigantic ass, bubble butt, skinny, tight waist, tiny waist, wide hips, ribs visible, muscular futanari, toned body, toned abs, ((gigantic muscles: 1.1)), gigantic biceps, gigantic delts, gigantic arms, gigantic legs, gigantic shoulders, very muscular, muscle definition, very large muscles, hyper muscles, black nipples,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>,",1002272615,1216,1216,DPM++ 2M,7,30,00004-1002272615.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, pubic hair, gloves, muscular male, white fur, yellow sclera, blue eyes, dark penis, beard, facial hair, blonde male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay, night, dark,

solo, 1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, ((All Dark brown horse fur: 1.5)),horse face, ((blonde horse mane: 1.5)), braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow,

huge breasts, gigantic ass, bubble butt, skinny, tight waist, tiny waist, wide hips, ribs visible, muscular futanari, toned body, toned abs, ((gigantic muscles: 1.1)), gigantic biceps, gigantic delts, gigantic arms, gigantic legs, gigantic shoulders, very muscular, muscle definition, very large muscles, hyper muscles, black nipples,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>,",1002272616,1216,1216,DPM++ 2M,7,30,00005-1002272616.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, pubic hair, gloves, muscular male, white fur, yellow sclera, blue eyes, dark penis, beard, facial hair, blonde male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay, night, dark,

solo, 1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, ((All Dark brown horse fur: 1.5)),horse face, ((blonde horse mane: 1.5)), braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow,

huge breasts, gigantic ass, bubble butt, skinny, tight waist, tiny waist, wide hips, ribs visible, muscular futanari, toned body, toned abs, ((gigantic muscles: 1.1)), gigantic biceps, gigantic delts, gigantic arms, gigantic legs, gigantic shoulders, very muscular, muscle definition, very large muscles, hyper muscles, black nipples,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>,",1002272617,1216,1216,DPM++ 2M,7,30,00006-1002272617.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, pubic hair, gloves, muscular male, white fur, yellow sclera, blue eyes, dark penis, beard, facial hair, blonde male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay, night, dark,

solo, 1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, ((All Dark brown horse fur: 1.5)),horse face, ((blonde horse mane: 1.5)), braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow,

huge breasts, gigantic ass, bubble butt, skinny, tight waist, tiny waist, wide hips, ribs visible, muscular futanari, toned body, toned abs, ((gigantic muscles: 1.1)), gigantic biceps, gigantic delts, gigantic arms, gigantic legs, gigantic shoulders, very muscular, muscle definition, very large muscles, hyper muscles, black nipples,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>,",1002272629,1216,1216,DPM++ 2M,7,30,00007-1002272629.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, pubic hair, gloves, muscular male, white fur, yellow sclera, blue eyes, dark penis, beard, facial hair, blonde male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay, night, dark,

solo, 1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, ((All Dark brown horse fur: 1.5)),horse face, ((blonde horse mane: 1.5)), braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow,

huge breasts, gigantic ass, bubble butt, skinny, tight waist, tiny waist, wide hips, ribs visible, muscular futanari, toned body, toned abs, ((gigantic muscles: 1.1)), gigantic biceps, gigantic delts, gigantic arms, gigantic legs, gigantic shoulders, very muscular, muscle definition, very large muscles, hyper muscles, black nipples,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>,",1002272634,1216,1216,DPM++ 2M,7,30,00008-1002272634.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, pubic hair, gloves, muscular male, white fur, yellow sclera, blue eyes, dark penis, beard, facial hair, blonde male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay, night, dark,

solo, 1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, ((All Dark brown horse fur: 1.5)),horse face, ((blonde horse mane: 1.5)), braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow,

huge breasts, gigantic ass, bubble butt, skinny, tight waist, tiny waist, wide hips, ribs visible, muscular futanari, toned body, toned abs, ((gigantic muscles: 1.1)), gigantic biceps, gigantic delts, gigantic arms, gigantic legs, gigantic shoulders, very muscular, muscle definition, very large muscles, hyper muscles, black nipples,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>,",1002272665,1216,1216,DPM++ 2M,7,30,00009-1002272665.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, pubic hair, gloves, muscular male, white fur, yellow sclera, blue eyes, dark penis, beard, facial hair, blonde male,",prefectIllustriousXL_40,462cf8610a
